"","CodCliente","NivelRisco","servidorCFTV","tipoPessoa","Estado","Cidade","Bairro","DataHora","CodigoEvento","hora","difTempo","CodClienteNorm","PredicaoModelo2"
"1",4572,"4","0","0","SP","SAO CARLOS","CENTRO",2019-01-04 06:58:50,"E122","6","[-1,10]",-5.67104168864149,"0"
"2",4572,"4","0","0","SP","SAO CARLOS","CENTRO",2019-01-04 06:58:54,"E122","6","[-1,10]",-5.67104168864149,"0"
"3",4572,"4","0","0","SP","SAO CARLOS","CENTRO",2019-01-04 06:59:01,"E122","6","[-1,10]",-5.67104168864149,"0"
"4",4680,"3","0","1","SP","SAO CARLOS","JARDIM ALVORADA",2019-01-05 01:22:23,"E301","1","[-1,10]",-5.58029761421804,"0"
"5",5543,"5","0","0","SP","SAO CARLOS","JARDIM BANDEIRANTES",2019-01-04 08:28:22,"E146","8","[-1,10]",-4.85518524174177,"1"
"6",5543,"5","0","0","SP","SAO CARLOS","JARDIM BANDEIRANTES",2019-01-04 08:29:23,"E146","8","(10,100]",-4.85518524174177,"1"
"7",5543,"5","0","0","SP","SAO CARLOS","JARDIM BANDEIRANTES",2019-01-04 08:29:34,"E146","8","(10,100]",-4.85518524174177,"1"
"8",5543,"5","0","0","SP","SAO CARLOS","JARDIM BANDEIRANTES",2019-01-04 08:29:45,"E146","8","(10,100]",-4.85518524174177,"1"
"9",5543,"5","0","0","SP","SAO CARLOS","JARDIM BANDEIRANTES",2019-01-04 08:29:51,"E146","8","[-1,10]",-4.85518524174177,"1"
"10",5543,"5","0","0","SP","SAO CARLOS","JARDIM BANDEIRANTES",2019-01-04 08:30:02,"E146","8","(10,100]",-4.85518524174177,"1"
"11",5543,"5","0","0","SP","SAO CARLOS","JARDIM BANDEIRANTES",2019-01-05 13:12:35,"E146","13","(1e+04,2.1e+05]",-4.85518524174177,"1"
"12",6330,"5","0","0","SP","SAO CARLOS","VILA PRADO",2019-01-03 23:59:25,"E131","23","[-1,10]",-4.19392981052644,"0"
"13",6578,"4","0","1","SP","SAO CARLOS","PLANALTO PARAÍSO",2019-01-05 00:17:41,"E301","0","[-1,10]",-3.98555452851704,"0"
"14",6578,"4","0","1","SP","SAO CARLOS","PLANALTO PARAÍSO",2019-01-05 01:17:06,"E301","1","(1e+03,1e+04]",-3.98555452851704,"0"
"15",6578,"4","0","1","SP","SAO CARLOS","PLANALTO PARAÍSO",2019-01-05 01:18:07,"E301","1","(10,100]",-3.98555452851704,"0"
"16",6578,"4","0","1","SP","SAO CARLOS","PLANALTO PARAÍSO",2019-01-05 01:18:38,"E301","1","(10,100]",-3.98555452851704,"0"
"17",6578,"4","0","1","SP","SAO CARLOS","PLANALTO PARAÍSO",2019-01-05 01:18:45,"E301","1","[-1,10]",-3.98555452851704,"0"
"18",6578,"4","0","1","SP","SAO CARLOS","PLANALTO PARAÍSO",2019-01-05 01:20:16,"E301","1","(10,100]",-3.98555452851704,"0"
"19",6578,"4","0","1","SP","SAO CARLOS","PLANALTO PARAÍSO",2019-01-05 01:20:31,"E301","1","(10,100]",-3.98555452851704,"0"
"20",6974,"1","0","0","SP","SAO CARLOS","PARQUE PARAÍSO",2019-01-05 00:19:25,"E123","0","[-1,10]",-3.65282625563105,"0"
"21",6974,"1","0","0","SP","SAO CARLOS","PARQUE PARAÍSO",2019-01-05 00:20:29,"E123","0","(10,100]",-3.65282625563105,"0"
"22",6974,"1","0","0","SP","SAO CARLOS","PARQUE PARAÍSO",2019-01-05 00:22:59,"E123","0","(100,1e+03]",-3.65282625563105,"0"
"23",6974,"1","0","0","SP","SAO CARLOS","PARQUE PARAÍSO",2019-01-05 00:23:04,"E123","0","[-1,10]",-3.65282625563105,"0"
"24",6974,"1","0","0","SP","SAO CARLOS","PARQUE PARAÍSO",2019-01-05 00:23:24,"E134","0","(10,100]",-3.65282625563105,"0"
"25",6974,"1","0","0","SP","SAO CARLOS","PARQUE PARAÍSO",2019-01-05 01:06:23,"E123","1","(1e+03,1e+04]",-3.65282625563105,"0"
